ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
543,Beta 3 glucan assay testing not done for,Invasive candidiasis,Aspergillosis,Pneumocystis carnii,Mucormycosis,D,45,"Beta 3 glucan assay is used to detect the presence of beta 3 glucan in the fungal cell wall. It is used for Invasive candidiasis, Aspergillosis, Pneumocystis cranii but not for Mucormycosis."
544,Topical treatment for recurrent respiratory papillomatosis includes:,Acyclovir,Cidofovir,Ranitidine,Zinc,B,45,"Ans: B. Cidofovir(Ref Dhingra 74, p346, 6/c, p305).Cidofovir:Topical treatment for recurrent respiratory papillomatosis (Incomplete in stopping tumor growth).Mostly injected to control frequency of tumor growth."
545,More than 80% cephalic index of a patient indicates which of the following,Brachycephalic,Mesocephatic,Dolicocephalic,Depends on age,A,45,No explanation given
546,Major determinant of loading dose of a drug is,Half life,Clearance,Volume of distribution,Bioavailability,C,45,LOADING DOSE = Vd * target plasma concentration MAINTENANCE DOSE = Clearance * target plasma concentration
547,"Divergence from contact area in proximal surfaces
causes embrasures:",Facially,Lingually,Cervically,"Facially, lingually, cervically & occlusally",D,45,No explanation given
548,Yellowish-brown staining of the IOPA dental X-ray film is due to:,Immersion in fixer without washing,Increased temperature of developer,Increased exposure time,Drying away of the developer solution,A,45,No explanation given
549,Which of the following is not ture about increased intracraniaL pressure,Headache,Nausea / vomiting,Muscle twitching,Somnolence,C,45,No explanation given
550,Retromolar pad:,Should not be covered by Low denture,Should be covered by lower denture,Has tendon of temporal muscle attached to it,Disappears on eruption of mandibular last molars,B,45,No explanation given
551,The process of transfer of information from the RNA to the proteins is called:,Mutation,Translation,Transcription,Conjugation,B,45,No explanation given
552,All of the following are potentially serious side effects of thioamide group of antithyroid drugs except:,Hepatic dysfunction,Severe rash,Agranulocytosis,Anaphylaxis,D,45,"Ans: D. Anaphylaxis(Ref. Goodman Gilman 12/e p1149; Katzung 13/e p671, 12/e p688)Adverse effects of anti-thyroid drugs:Most serious reaction: AgranulocytosisMC reaction: Mild, purpuric, uicarial papular rash.Less frequent complications: Pain & stiffness in joints, paresthesias, headache, skin pigmentation & loss of hair.ANCAs in -50% of patients receiving propylthiouracil.Cholestatic jaundice - More common with methimazole than propylthiouracil.Propylthiouracil-associated hepatic failure."
553,"In which stage of neurocysticercosis, there is no edema?",Vesicular,Vesicular colloidal,Granular nodular,Nodular calcified,D,45,"Ans. d. Nodular calcified (Ref Robbins 9/e1)395, SA, 1)392-393)Surrounding edema is seen in the colloidal vesicular and granular nodular stages.StageCyst wallScolexCommentVesicularNon-enhancingWall defined membraneOnly one ble scolexEccentric hyperdense hole-with-dot"" appearanceSuggestive of ble larvaColloidalRing Enhancing with perilesional edemaDegenerating scolexFluid becomes more turbidEarliest stage in the cyst involution - larval degenerationGranularFocal nodular enhancing necrotic lesions with perilesional edemaDegenerating scolexEosinophilic structure Bladder and scolex are in various stages of disintegationCalcifiedSmall hyperdense nodules without perilesional edema"
554,Which of the following is not a pa of the quadruple test for antenatal detection of Down syndrome?,AFP,Estriol,Beta HCG,Inhibin B,D,45,TRIPLE TEST b Hcg || a feto protein || Estriol || QUADRAPLE TEST BHcg || A feto protein || Estriol || Inhibin A ||
555,Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?,Influenza,Staphylococcal toxic shock syndrome,Waterhouse-Friderichsen syndrome,Dengue hemorrhagic fever,D,45,Ans: D. Dengue hemorrhagic feverAntiborly-dependent enhancement is implicated in the immunopathogenesis of Dengue hemorrhagic fever.
556,The drug not belonging to amide group,Procaine,Xylocaine,Lignocaine,Bupivacaine,A,45,No explanation given
557,Extra retention in abutment teeth is obtained with:,Dovetail,"Slots, pins and grooves",Outline form,Increasing tooth reduction,B,45,No explanation given
558,Sonic frequency range is:,1000-2000 Hz,1500-6000 Hz,"20,000-30,000 Hz","10,000 Hz",B,45,No explanation given
559,Cause of apical periodontitis is/are:,Sequel of pulpal diseases,Wedging of foreign object between the teeth,High points in restoration,All of the above,D,45,"Apical periodontitis (AP) may occur in a vital or nonvital tooth.
Causes of AP in a vital tooth:

Abnormal occlusal contacts
High points in restoration
Wedging of foreign object between the teeth
Traumatic blow to teeth (Eg: Concussion).

Causes of AP in a nonvital tooth:

Sequelae of pulpal diseases  
Iatrogenic
Apical extrusion of debris through apical foramen during RCT.
Pushing irrigants or medicaments or obturating material through apical foramen."
560,"Which of the following series act as the best space
maintainer in a child's mouth?",Restored deciduous tooth,Acrylic partial denture,Distal shoe space maintainer,Band and loop space maintainer,A,45,No explanation given
561,Most common cause of postauricular lymphadenopathy in children :,Sore throat,Pediculosis capitis,Pulmonary Koch's,Chronic suppurative otitis media,B,45,"Posterior or Suboccipital cervical lymphadenopathy is caused by Roseola, Rubella, Scalp infections.
The lymphatic drainage of posterior scalp is to the occipital region.
Posterior or Suboccipital cervical lymphadenopathy without obvious disease or secondary infection is characteristic of lice.
Secondary pyodenna due to scratching may result in matting together of the hair and cervical and occipital lymphadenopathy."
562,Infected mandibular angle fracture is treated by?,Mini plates,Reconstruction plates,Champy plate at upper border,IMF + ID,D,45,We can never place a foreign object(implant mini plates or reconstruction plates) at infection site.
563,"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?",Halothane,Chloroform,Methylchloroform,Xylene,B,45,No explanation given
564,The following enzyme is responsible for thirst mechanism during dehydration?,ADH,Noradrenaline,Epinephrine,Dopamine,A,45,"Ans. A. ADH* Because, arginine vasopressin (AVP) also known as antidiuretic hormone, cannot reduce water loss below a ceain minimum level obligated by urinary solute load and evaporation from skin and lungs, a mechanism for ensuring adequate intake is essential for preventing dehydration.* This vital function is performed by the thirst mechanism.* Like AVP, thirst is regulated primarily by an osmostat that is situated in the anteromedial hypothalamus and is able to detect very small changes in the plasma concentration of sodium and ceain other effective solutes."
565,Ptosis may be caused by a lesion of the:,Oculomotor nerve,Superior oblique,Trigeminal nerve,Trochlear nerve,A,45,No explanation given
566,The treatment of choice for primary grade V vesicoureteric reflux involving both kidneys in a 6 month old boy is –,Antibiotic prophylaxis,Ureteric reimplantation,Cystoscopy followed by subureteric injection of teflon,Bilateral ureterostomies.,A,45,"Since the age of the boy is less than 1 year we will try medical management.
See the below given tables from Nelson and the answer will be clear.

Treatment Recommendation for VUR diagnosed following a UTI"
567,Idiosyncratic side-effects of carbamazepine are all except:,Steven-Johnson syndrome,Agranulocytosis,Rash,Blurred vision,D,45,"Answer- D. Blurred visionDiplopia (not the blurring of vision) is a dose related side effect of carbamazepine, while others are idiosyncratic, reactions.""The most common dose-related adverse effects of carbamazepine are diplopia and ataxia. The diplopia often occursfirst and may last less than an hour during a paicular time of day"
568,Neoplasia of blood vessel is called,Angioma,Hematoma,Lymphosarcoma,Papilloma,A,45,No explanation given
569,Which of the following is innervated by the vagus nerve?,The levator veli palatine (levator palatini),The posterior belly of digastric,Mylohyoid,The tensor veli palatine (tensor palatini),A,45,No explanation given
570,A voluntary donor underwent apheresis for platelet donation for the first time after which he developed perioral tingling and numbness. This is seen because,His platelet count was low for donation,He underwent apheresis for the first time,Due to fluid depletion,Due to citrate based anticoagulant,D,45,"SDP-Single Donor Platelet are preffered. -In this process whole bloodis drawn from one arm into a sterile kit inside a cell separating machine. -The machine separates the bloodso that onlyplateletsand plasma are collected. -The other bloodcomponents (red cells and white cells) are returned to thedonor the same arm. -Because we want the blood to flow in the proper way, so we will do addition of anti-coagulant solution like citrate based anti-coagulant. -This anti-coagulant solution will not only prevent clot formation but will also cause decrease in the concentration of ionized Ca2+ - causing transient hypocalcemia which will lead to Perioral tingling and numbness. To prevent this condition from happening we prescribe oral calcium supplementation to the respective patient or we reduce the flow of device through which the blood is supposed to pass."
571,P3L3 came to opd with postcoital bleeding and pap positive p/v cervix hyperophied bleed on touch diagnosis -,CA cervix,Fibroid,Cervicitis,Cervical polyp,A,45,"Ans. A. CA cervixSYMPTOMS:Arises from: Squamo-columnar junctionEarliest symptom: Post-coital bleedingAs the cancer progresses, symptoms may include:Unusual vaginal dischargeVaginal bleeding between periodsBleeding after menopausePyometraBleeding or pain during sexMC site: EctocervixLymph nodes affected: Obturator, hypogastric and external iliacTime taken for conversion of CIN to invasive Ca: 10 yearsMC type: Squamous cell Ca100% cure rates are seen in: CISUremia: altered sensorium and is having hiccupsMC cause of death: Renal failureCa cervix can be prevented by screeningBoth positive Pap smear and test is suggestive of CA cervix"
572,Which of the following PPE (Personal Protective Equipment) is removed first?,Gloves,Face shield,Gown,Mask,A,45,"Personal protective equipment: PPE - protect the user against health or safety risks at work. Can include items such as safety helmets, gloves, eye- protection, high visibility clothing, safety footwear and safety harness. It can also include respiratory protective equipment (RPE) Order of removing PPE: Gloves Face shield Gown Mask"
